,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2167,"EVANS, DAVID",NA,NA,NA,NA,NA
2168,"EVANS, KELLI",NA,NA,NA,NA,NA
2169,"EVERETT, MICHAEL",NA,NA,NA,NA,NA
2170,"FABRY-ASZTALOS, LEVENTE",NA,NA,NA,NA,NA
2171,"FABRY-ASZTALOS, LEVENTE",NA,NA,NA,NA,NA
2172,"FARICY, CHRISTOPHER",NA,NA,NA,NA,NA
2173,"FASSETT, WILLIAM",NA,NA,NA,NA,NA
2174,"FAWSON, PETER",NA,NA,NA,NA,NA
2175,"FEINBERG, SETH",NA,NA,NA,NA,NA
2176,"FEINGOLD, DAVID",NA,NA,NA,NA,NA
2177,"FENNERTY, DANIEL",NA,NA,NA,NA,NA
2178,"FEODOROV, JOHN",NA,NA,NA,NA,NA
2179,"FEODOROV, JOHN",NA,NA,NA,NA,NA
2180,"FERLAND, MARIE",NA,NA,NA,NA,NA
2181,"FEWINGS, DAVID",NA,NA,NA,NA,NA
2182,"FIELD, DAVID",4995,33,23,79,51
2183,"FIERO, PETRA",NA,NA,NA,NA,NA
2184,"FINKE, JANET",NA,NA,NA,NA,NA
2185,"FINLAY, JANET",NA,NA,NA,NA,NA
2186,"FINLEY, SUSAN",1483,15,11,22,12
2187,"FITZGERALD, CYNTHIA",NA,NA,NA,NA,NA
2188,"FITZPATRICK, TIMOTHY",NA,NA,NA,NA,NA
2189,"FITZPATRICK, TIMOTHY",NA,NA,NA,NA,NA
2190,"FIZZANO, PERRY",NA,NA,NA,NA,NA
2191,"FIZZANO, PERRY",NA,NA,NA,NA,NA
2192,"FIZZANO, PERRY",NA,NA,NA,NA,NA
2193,"FLEISHMAN, STEVEN",NA,NA,NA,NA,NA
2194,"FLEMING, SUSAN",NA,NA,NA,NA,NA
2195,"FLOWER, AQUILA",121,7,6,5,5
2196,"FLOWER, AQUILA",121,7,6,5,5
2197,"FOLK, HOLLY",NA,NA,NA,NA,NA
2198,"FOLK, HOLLY",NA,NA,NA,NA,NA
2199,"FOLSOM, MICHAEL",NA,NA,NA,NA,NA
2200,"FORD, FREDERICK",NA,NA,NA,NA,NA
2201,"FORDAN, ROBERT",NA,NA,NA,NA,NA
2202,"FORDAN, ROBERT",NA,NA,NA,NA,NA
2203,"FOREMAN, BRADY",415,10,8,10,8
2204,"FORGAYS, DEBORAH",NA,NA,NA,NA,NA
2205,"FORIER-EDIE, ELISE",NA,NA,NA,NA,NA
2206,"FORIER-EDIE, ELISE",NA,NA,NA,NA,NA
2207,"FORSYTH, MICHELLE",NA,NA,NA,NA,NA
2208,"FORTNEY, JAMES",NA,NA,NA,NA,NA
2209,"FRAAS, MICHAEL",NA,NA,NA,NA,NA
2210,"FRANCIS, TERESA",NA,NA,NA,NA,NA
2211,"FREAR, CRAIG",NA,NA,NA,NA,NA
2212,"FREEMAN, JEANNE",NA,NA,NA,NA,NA
2213,"FREEMAN, JEANNE",NA,NA,NA,NA,NA
2214,"FREMIER, ALEXANDER",972,17,15,24,21
2215,"FRENCH, BRIAN",2242,26,21,44,37
2216,"FRENCH, KRISTEN",NA,NA,NA,NA,NA
2217,"FRENCH, KRISTEN",NA,NA,NA,NA,NA
2218,"FRICKEL, SCOTT",NA,NA,NA,NA,NA
2219,"FRIDAY, CHRISTOPHER",NA,NA,NA,NA,NA
2220,"FRIESEN, DANIEL",NA,NA,NA,NA,NA
2221,"FRIESEN, JOHN",NA,NA,NA,NA,NA
2222,"FRIESEN, JOHN",NA,NA,NA,NA,NA
2223,"FROM, MILTON",NA,NA,NA,NA,NA
2224,"FROST, JANET",NA,NA,NA,NA,NA
2225,"FU, PING",33,3,3,1,1
2226,"FUSSELL, ELIZABETH",NA,NA,NA,NA,NA
2227,"GABRIEL, KARA",NA,NA,NA,NA,NA
2228,"GALM, JERRY",NA,NA,NA,NA,NA
2229,"GALM, JERRY",NA,NA,NA,NA,NA
2230,"GAMMON, STEVEN",NA,NA,NA,NA,NA
2231,"GANN, CORY",NA,NA,NA,NA,NA
2232,"GARCIA, CESAR",NA,NA,NA,NA,NA
2233,"GARCIA, GILBERT",NA,NA,NA,NA,NA
2234,"GARCIA, HUGO",NA,NA,NA,NA,NA
2235,"GARCIA, HUGO",NA,NA,NA,NA,NA
2236,"GARCIA, JERRY",NA,NA,NA,NA,NA
2237,"GARCIA, JERRY",NA,NA,NA,NA,NA
2238,"GARCIA, JOSEPH",NA,NA,NA,NA,NA
2239,"GARCIA, MARTIN",NA,NA,NA,NA,NA
2240,"GARDNER, RICHARD",4500,26,16,56,25
2241,"GARFINKLE, STEVEN",NA,NA,NA,NA,NA
2242,"GARFINKLE, STEVEN",NA,NA,NA,NA,NA
2243,"GAROFALO, JOHN",NA,NA,NA,NA,NA
2244,"GARRAWAY, WILLIAM",NA,NA,NA,NA,NA
2245,"GARTSTEIN, MARIA",NA,NA,NA,NA,NA
2246,"GARY, CLIVE",NA,NA,NA,NA,NA
2247,"GARY, DIA",NA,NA,NA,NA,NA
2248,"GAZIS, CAREY",NA,NA,NA,NA,NA
2249,"GE, YINGBIN",283,10,6,10,4
2250,"GEISLER, MARC",NA,NA,NA,NA,NA
2251,"GEISLER, MARC",NA,NA,NA,NA,NA
2252,"GELLENBECK, EDWARD",NA,NA,NA,NA,NA
2253,"GEORGEOLIANI, DINARA",NA,NA,NA,NA,NA
2254,"GHALI, MOHEB",NA,NA,NA,NA,NA
2255,"GIBSON, FLASH",NA,NA,NA,NA,NA
2256,"GIERLASINSKI, NORMAN",NA,NA,NA,NA,NA
2257,"GIFFEN, ALLISON",NA,NA,NA,NA,NA
2258,"GILBERTSON, DAVID",100,5,4,3,1
2259,"GILBERTSON, JOHN",NA,NA,NA,NA,NA
2260,"GILBERTSON, JOHN",NA,NA,NA,NA,NA
2261,"GILL, DAVID",NA,NA,NA,NA,NA
2262,"GILLIAM, JEFFREY",NA,NA,NA,NA,NA
2263,"GLASBY, STEPHEN",NA,NA,NA,NA,NA
2264,"GLEESON, MADGE",NA,NA,NA,NA,NA
2265,"GLIMM, TILMANN",855,12,10,13,10
